number,id,city,city-fa,country-sh,country,
112,1276666,Bawal,باوال,IN,India,
113,1272822,Dharuhera,دارهورا,IN,India,
114,1270642,Gurgaon,گورگائون,IN,India,
115,523750,Naberezhnyye Chelny,Naberezhnyye Chelny,RU,Russia,
116,625144,Minsk,مینسک,BY,Belarus,
117,571170,Bugulma,بوگولما,RU,Russia,
118,552974,Karabash,کاراباش,RU,Russia,
119,2014006,Ussuriysk,فشفشاني,RU,Russia,
120,689037,Vorokhta,وروختا,UA,Ukraine,
121,1253405,Varanasi,وارناسی,IN,India,
122,1258642,Ramnagar,رامناگر,IN,India,
123,1262634,Mughal Sarai,مغال سارای,IN,India,
124,1257022,Satna,ساتنا,IN,India,
125,1260454,Panna,پانا,IN,India,
126,1275120,Bulandshahr,بولاندشهر,IN,India,
127,1256532,Shikarpur,شیکارپور,IN,India,
128,1272653,Dibai,دیبائی,IN,India,
129,1261837,Naraura,نارارا,IN,India,
130,1257800,Sahaswan,سحسوان,IN,India,
131,1253918,Ujhani,حقاني,IN,India,
132,1268540,Kakrala,کاکرالا,IN,India,
133,1253673,Usehat,اوهات,IN,India,
134,1269447,Jalalabad,جلال اباد,IN,India,
135,1278990,Allahganj,اللهگانج,IN,India,
136,1270370,Hardoi,هاردمن,IN,India,
137,1257459,Sandila,ساندیلا,IN,India,
138,1264085,Malihabad,ملیحه اباد,IN,India,
139,1268545,Kakori,کاکوری,IN,India,
140,1264733,Lucknow,خوش شانس,IN,India,
141,1270890,Goshainganj,گوششینگ,IN,India,
142,1257005,Satrikh,ساتریخ,IN,India,
143,1252698,Zaidpur,زیدپور,IN,India,
144,1254536,Tikaitnagar,تیکایتناگار,IN,India,
145,1283621,Bhairahawa,بهایراهاوا,NP,Nepal,
146,1283613,Bharatpur,بهاراتپور,NP,Nepal,
147,1283190,Kirtipur,کریتی پور,NP,Nepal,
148,1282931,Patan,پاتان,NP,Nepal,
149,692672,Stavyshche,استاویشچه,UA,Ukraine,
150,711390,Brovary,برواری,UA,Ukraine,
151,694558,Semypolky,نیمه پولکی,UA,Ukraine,
152,578953,Barvikha,بارویخا,RU,Russia,
153,509998,Petrovo-Dalneye,پتروو-دالنی,RU,Russia,
154,521821,Nikolina Gora,نیکولینا گورا,RU,Russia,
155,461920,Zvenigorod,Zvenigorod,RU,Russia,
156,480685,Tuchkovo,توچکوو,RU,Russia,
157,541286,Kratovo,کراتوو,RU,Russia,
158,545405,Konobeyevo,کونوبایوو,RU,Russia,
159,471656,Voskresensk,واسکرسنسک,RU,Russia,
160,502345,Rechitsy,رچیتسی,RU,Russia,
161,525396,Monino,مونینو,RU,Russia,
162,516305,Obukhovo,اوبوخوو,RU,Russia,
163,556463,Imeni Vorovskogo,ایمنی ووروفسکوگو,RU,Russia,
164,563523,Elektrostal,الکترواستال,RU,Russia,
165,512023,Pavlovskiy Posad,پاولوفسکی پوساد,RU,Russia,
166,565007,Drezna,درنا,RU,Russia,
167,515186,Opalikha,اوپلیخا,RU,Russia,
168,518346,Novopetrovskoye,نووپتروفسکوئه,RU,Russia,
169,475845,Verbilki,وربیلکی,RU,Russia,
170,580616,Ashitkovo,اشيکوا,RU,Russia,
171,495515,Shaturtorf,شاتورتورف,RU,Russia,
172,573922,Bolshiye Vyazemy,بولشیه ویازمی,RU,Russia,
173,463465,Zhavoronki,ژاورونکی,RU,Russia,
174,527888,Medvezhyegorsk,مدویژگورسک,RU,Russia,
175,6730265,Obolensk,اوبولنسک,RU,Russia,
176,496527,Serpukhov,سرپوخوف,RU,Russia,
177,503581,Pyaozerskiy,پیازورسکی,RU,Russia,
178,533964,Loukhi,لوخی,RU,Russia,
179,545673,Konakovo,کوناکوو,RU,Russia,
180,461704,Novozavidovskiy,نووزاویدوفسکی,RU,Russia,
181,543106,Kozlovo,کوزلوو,RU,Russia,
182,1264773,Loni,لونی,IN,India,
183,294166,Mitzpe Ramon,میتسپه رامون,IL,Israel,
184,1258972,Raipur,رایپور,IN,India,
185,691606,Terny,ترنی,UA,Ukraine,
186,565284,Donskoye,دونسکوی,RU,Russia,
187,688455,Yaremche,یارمچه,UA,Ukraine,
188,1506394,Plotnikovo,Plotnikovo,RU,Russia,
189,518337,Novopodrezkovo,نووپودرزکووو,RU,Russia,
190,492448,Skhodnya,Skhodnya,RU,Russia,
191,463829,Zelenograd,زلنوگراد,RU,Russia,
192,583491,Alabushevo,الابوشو,RU,Russia,
193,510225,Petrodvorets,Petrodvorets,RU,Russia,
194,487227,Strelna,استرلنا,RU,Russia,
195,621729,Horad Smalyavichy,هوراد اسمالیاویچی,BY,Belarus,
196,618800,Horad Zhodzina,هوراد زودزینا,BY,Belarus,
197,1283011,Namche Bazar,نامچه بازار,NP,Nepal,
198,1253986,Udaipur,اودایپور,IN,India,
199,1260716,Pali,پالی,IN,India,
200,1268865,Jodhpur,جودپور,IN,India,
201,1269507,Jaisalmer,جیسالمر,IN,India,
202,1259148,Pushkar,پوشکار,IN,India,
203,1279159,Ajmer,عجمر,IN,India,
204,1267995,Kanpur,کانپور,IN,India,
205,1271439,Gaya,گایا,IN,India,
206,1275389,Bodh Gaya,بودا گایا,IN,India,
207,479123,Ulyanovsk,اولیانوفسک,RU,Russia,
208,6417535,Mosrentgen,Mosrentgen,RU,Russia,
209,500843,Rublevo,روبلوو,RU,Russia,
210,469341,Yam,سیب زمینی شیرین,RU,Russia,
211,486968,Stupino,استوپینو,RU,Russia,
212,524423,Muranovo,مورانوو,RU,Russia,
213,490996,Solnechnogorsk,Solnechnogorsk,RU,Russia,
214,507599,Pokrov,پوکروف,RU,Russia,
215,495344,Shchelkovo,شچلکوو,RU,Russia,
216,562319,Fryazino,فریازینو,RU,Russia,
217,491351,Sofrino,سوفرینو,RU,Russia,
218,565381,Domodedovo,دوموددوو,RU,Russia,
219,469533,Yakovlevskoye,یاکوولفسکوی,RU,Russia,
220,568808,Chernogolovka,چرنولوگولوکا,RU,Russia,
221,562322,Fryanovo,فریانوو,RU,Russia,
222,523553,Nakhabino,نخابینو,RU,Russia,
223,495619,Sharya,شریا,RU,Russia,
224,529505,Manturovo,مانتوروو,RU,Russia,
225,532138,Makaryev,ماکاریف,RU,Russia,
226,543494,Kovernino,کوروینو,RU,Russia,
227,559678,Gorodets,گورودتس,RU,Russia,
228,464101,Zavolzhye,زاولژیه,RU,Russia,
229,510323,Pestyaki,پستیکی,RU,Russia,
230,559459,Gorokhovets,Gorokhovets,RU,Russia,
231,524294,Murom,موروم,RU,Russia,
232,468030,Yelatma,یلاتما,RU,Russia,
233,551891,Kasimov,کسیموف,RU,Russia,
234,554836,Izhevskoye,ایژوسکوئه,RU,Russia,
235,489741,Spassk-Ryazanskiy,اسپاسک-ریازانسکی,RU,Russia,
236,524298,Murmino,مورمینو,RU,Russia,
237,500096,Ryazan,ریازان,RU,Russia,
238,499975,Rybnoye,ریبنوی,RU,Russia,
239,464687,Zaraysk,زارایسک,RU,Russia,
240,513362,Ozherelye,اوزرلی,RU,Russia,
241,562321,Fryazevo,فریازوو,RU,Russia,
242,461916,Zvenigovo,زونیگووو,RU,Russia,
243,543018,Kozmodemyansk,کوزمودمیانسک,RU,Russia,
244,572665,Bor,بور,RU,Russia,
245,520555,Nizhniy Novgorod,نیژنی نووگورود,RU,Russia,
246,522871,Neklyudovo,نکلیودوو,RU,Russia,
247,513095,Palekh,پالخ,RU,Russia,
248,466084,Yuzha,یوزا,RU,Russia,
249,553389,Kameshkovo,کامشکوو,RU,Russia,
250,548781,Kideksha,کیدکسا,RU,Russia,
251,485824,Suzdal,سوزدال,RU,Russia,
252,561783,Gavrilov Posad,گاوریلوف پوساد,RU,Russia,
253,466215,Yuryev-Polskiy,یوریف-پولکی,RU,Russia,
254,578641,Bavleny,باولنی,RU,Russia,
255,546521,Kolchugino,کولچوگوینو,RU,Russia,
256,491687,Smolensk,اسمولنسک,RU,Russia,
257,628758,Dubrowna,دوبرونا,BY,Belarus,
258,624079,Orsha,اورشا,BY,Belarus,
259,630431,Baran,باران,BY,Belarus,
260,622034,Shklow,شکلو,BY,Belarus,
261,625665,Mahilyow,ماهلیو,BY,Belarus,
262,629471,Buynichy,Buynichy,BY,Belarus,
263,627272,Kirawsk,کیراوسک,BY,Belarus,
264,630468,Babruysk,بابرویسک,BY,Belarus,
265,624034,Asipovichy,اسیپوویچی,BY,Belarus,
266,626956,Kapyl,کاپیل,BY,Belarus,
267,624700,Nyasvizh,نیاسویش,BY,Belarus,
268,628182,Haradzyeya,هارادیزیا,BY,Belarus,
269,625128,Mir,میر,BY,Belarus,
270,626939,Karelichy,کارلیچی,BY,Belarus,
271,624785,Navahrudak,ناوهرودک,BY,Belarus,
272,621754,Slonim,لاغر,BY,Belarus,
273,622997,Pruzhany,پروژانی,BY,Belarus,
274,629634,Brest,برست,BY,Belarus,
275,545791,Kommunar,کمونار,RU,Russia,
276,575609,Bogolyubovo,بوگولیوبوو,RU,Russia,
277,543878,Kostroma,کاستروما,RU,Russia,
278,486015,Susanino,سوزانینو,RU,Russia,
279,555312,Ivanovo,ایوانوو,RU,Russia,
280,562309,Furmanov,فورمانوف,RU,Russia,
281,505060,Privolzhsk,پریولژسک,RU,Russia,
282,509029,Ples,لطفا,RU,Russia,
283,542024,Krasnoye-na-Volge,کراسنوی-نا-ولژ,RU,Russia,
284,543704,Kotlas,کوتلاس,RU,Russia,
285,505112,Privodino,Privodino,RU,Russia,
286,542908,Krasavino,کراساوینو,RU,Russia,
287,476062,Velikiy Ustyug,ولیکی اوستیوگ,RU,Russia,
288,516539,Nyuksenitsa,نیوکسنیتسا,RU,Russia,
289,481960,Totma,توتما,RU,Russia,
290,491025,Soligalich,سالیگالیچ,RU,Russia,
291,567695,Chukhloma,چوخلوما,RU,Russia,
292,562161,Galich,گالیچ,RU,Russia,
293,563522,Elektrougli,الکتروگلی,RU,Russia,
294,489264,Staraya,استارایا,RU,Russia,
295,709112,Foros,فروس,nan,nan,
296,700997,Miskhor,میسخور,UA,Ukraine,
297,712930,Balaklava,بالاکلاوا,AU,Australia,
298,688533,Yalta,یالتا,nan,nan,
299,701619,Massandra,ماساندرا,nan,nan,
300,711527,Nikita,نیکیتا,nan,nan,
301,712576,Inkerman,اینکرمن,nan,nan,
302,694423,Sevastopol,سواستوپل,nan,nan,
303,713513,Alushta,الوشتا,UA,Ukraine,
304,697653,Perevalnoe,پروالنوو,nan,nan,
305,692315,Sudak,سوداک,UA,Ukraine,
306,697124,Koktebel,کوکتبل,UA,Ukraine,
307,709161,Feodosiya,فئودوسیا,UA,Ukraine,
308,694910,Saky,ساکی,nan,nan,
309,690556,Uyutne,Uyutne,UA,Ukraine,
310,688105,Yevpatoriya,یوپاتوریا,UA,Ukraine,
311,706524,Kerch,کرچ,UA,Ukraine,
312,700550,Mysove,میسوو,UA,Ukraine,
313,710687,Chornomorske,چورنومورسکه,UA,Ukraine,
314,491422,Sochi,سوچی,RU,Russia,
315,542681,Krasnaya Polyana,کراسنایا پولیانا,RU,Russia,
316,536625,Lazarevskoye,لازاروسکوئه,RU,Russia,
317,523048,Nebug,اشکال زدایی,RU,Russia,
318,553514,Kamennomostskiy,کامننوموستکی,RU,Russia,
319,566157,Divnomorskoye,Divnomorskoye,RU,Russia,
320,561667,Gelendzhik,گلندجیک,RU,Russia,
321,559317,Goryachiy Klyuch,گوریاچی کلیوچ,RU,Russia,
322,584365,Abrau-Dyurso,ابرائو دیورسو,RU,Russia,
323,582181,Anapskaya,اناپسکایا,RU,Russia,
324,473295,Vityazevo,ویتیازوو,RU,Russia,
325,473546,Vinogradnyy,وینوگرادنی,RU,Russia,
326,483661,Temryuk,تمریوک,RU,Russia,
327,560513,Golubitskaya,گولوبیتسکایا,RU,Russia,
328,583811,Akhtanizovskaya,اختانیزوفسکایا,RU,Russia,
329,488713,Staronizhestebliyevskaya,Staronizhestebliyevskaya,RU,Russia,
330,611847,Sokhumi,سوخومی,nan,nan,
331,615912,Stantsiya Novyy Afon,Stantsiya Novyy Afon,nan,nan,
332,615460,Bichvinta,بیچوینتا,nan,nan,
333,614622,Gagra,گاگرا,nan,nan,
334,512039,Pavlovskaya Sloboda,Pavlovskaya Sloboda,RU,Russia,
335,2014571,Uglovoye,اوگلووی,RU,Russia,
336,2021956,Knevichi,کنویچی,RU,Russia,
337,584243,Adler,ادلر,RU,Russia,
338,803494,Orel-Izumrud,اورل-ایزومرود,RU,Russia,
339,803498,Vysokoye,ویسوکوی,RU,Russia,
340,549424,Khosta,خوستا,RU,Russia,
341,823674,Dagomys,داگلی,RU,Russia,
342,477047,Vardane,وردان,RU,Russia,
343,552562,Kardonikskaya,کاردونیکسکایا,RU,Russia,
344,498462,Sary-Tyuz,ساری-تیوز,RU,Russia,
345,505539,Pregradnaya,Pregradnaya,RU,Russia,
346,559320,Goryachevodskiy,گوریاچودودسکی,RU,Russia,
347,494846,Shepsi,شپسی,RU,Russia,
348,503550,Pyatigorsk,پیاتیگورسک,RU,Russia,
349,480716,Tuapse,تواپسه,RU,Russia,
350,526480,Mineralnyye Vody,Mineralnyye Vody,RU,Russia,
351,581788,Andzhiyevskiy,Andzhiyevskiy,RU,Russia,
352,485871,Suvorovskaya,سووروفسکایا,RU,Russia,
353,535440,Levokumka,لووکومکا,RU,Russia,
354,518585,Novomikhaylovskiy,Novomikhaylovskiy,RU,Russia,
355,563601,Dzhubga,قالپاق.,RU,Russia,
356,580969,Arkhipo-Osipovka,Arkhipo-Osipovka,RU,Russia,
357,490747,Soluno-Dmitriyevskoye,سولونو-دیمیتریوفسکوئه,RU,Russia,
358,708953,Gaspra,گاسپرا,UA,Ukraine,
359,550846,Khadyzhensk,خدينزسک,RU,Russia,
360,581313,Apsheronsk,اپشرونسک,RU,Russia,
361,504376,Pshada,پشادا,RU,Russia,
362,709075,Partenit,پارتنیت,nan,nan,
363,522377,Nevinnomyssk,Nevinnomyssk,RU,Russia,
364,554668,Kabardinka,کاباردینکا,RU,Russia,
365,537281,Labinsk,لابینسک,RU,Russia,
366,498672,Saratovskaya,ساراتوفسکایا,RU,Russia,
367,518255,Novorossiysk,نووروسیسک,RU,Russia,
368,577893,Belorechensk,بلورچنسک,RU,Russia,
369,502542,Rayevskaya,ریوسکایا,RU,Russia,
370,496385,Severnoye,سیورنوی,RU,Russia,
371,483142,Adygeysk,Adygeysk,RU,Russia,
372,517769,Novoukrainskiy,نوووکراینینسیی,RU,Russia,
373,482582,Tlyustenkhabl,تولیستنخاب,RU,Russia,
374,512382,Pashkovskiy,پاشکوفسکی,RU,Russia,
375,692714,Staryy Krym,استاری کریم,nan,nan,
376,487846,Stavropol,استاوروپول,RU,Russia,
377,542420,Krasnodar,کراسنودار,RU,Russia,
378,712587,Bilohirsk,بیلوهیرسک,nan,nan,
379,712427,Berehove,Berehove,UA,Ukraine,
380,488606,Starotitarovskaya,Starotitarovskaya,RU,Russia,
381,517842,Novotitarovskaya,نووتیتاروفسکایا,RU,Russia,
382,550452,Khatukay,خاتوکای,RU,Russia,
383,492094,Slavyansk-na-Kubani,اسلاویانسک-نا-کوبانی,RU,Russia,
384,478044,Ust-Labinsk,اوست-لابینسک,RU,Russia,
385,481275,Trudobelikovskiy,ترادوبلسكي,RU,Russia,
386,509124,Plastunovskaya,پلاستونوسکایا,RU,Russia,
387,537235,Ladozhskaya,لادوزسکایا,RU,Russia,
388,540761,Kropotkin,کروپوتکین,RU,Russia,
389,527968,Medvedovskaya,مدووسکایا,RU,Russia,
390,554173,Kalininskaya,کالینینسکایا,RU,Russia,
391,551669,Kavkazskaya,کاوکازسکایا,RU,Russia,
392,544896,Korenovsk,کورنوفسک,RU,Russia,
393,470338,Vyselki,ویسلکی,RU,Russia,
394,482965,Timashevsk,تیماشفسک,RU,Russia,
395,709334,Dzhankoy,ژانکوی,nan,nan,
396,542334,Krasnogvardeyskoye,کراسنوگوردیسکوی,RU,Russia,
397,556170,Irkliyevskaya,ایرکلیفسکایا,RU,Russia,
398,512533,Parkovyy,پارکوی,RU,Russia,
399,518249,Novorozhdestvenskaya,نووروژدستونسکایا,RU,Russia,
400,483029,Tikhoretsk,تیخوریتسک,RU,Russia,
401,483326,Ternevskaya,ترنوسکایا,RU,Russia,
402,518325,Novopokrovskaya,نووپوکروفسکایا,RU,Russia,
403,540055,Kubanskiy,کوبانسکی,RU,Russia,
404,704362,Krasnoperekopsk,کراسنوپرکوپسک,nan,nan,
405,488758,Staroleushkovskaya,استارولئوشکوفسکایا,RU,Russia,
406,578169,Belaya Glina,بلایا گلاورینا,RU,Russia,
407,512051,Pavlovskaya,پاولوسکایا,RU,Russia,
408,712160,Bilhorod-Dnistrovskyy,Bilhorod-Dnistrovskyy,UA,Ukraine,
409,510613,Peschanokopskoye,Peschanokopskoye,RU,Russia,
410,699706,Novooleksiyivka,Novooleksiyivka,UA,Ukraine,
411,697957,Partyzany,مهمانی,UA,Ukraine,
412,698740,Odessa,اودسا,UA,Ukraine,
413,2020689,Luchegorsk,لوچگورسک,RU,Russia,
414,499161,Salsk,سالسك,RU,Russia,
415,488742,Starominskaya,استارومینسکایا,RU,Russia,
416,708632,Hola Prystan,هولا پریستان,UA,Ukraine,
417,538416,Kushchevskaya,کوشچوسکایا,RU,Russia,
418,553159,Kanelovskaya,کانلوسکایا,RU,Russia,
419,565456,Dolzhanskaya,دولژانسکایا,RU,Russia,
420,713743,Yakymivka,یاکیمیوکا,UA,Ukraine,
421,504831,Proletarsk,پرولتارسک,RU,Russia,
422,466885,Yeysk,ییسک,RU,Russia,
423,712451,Berdyansk,بردیانسک,UA,Ukraine,
424,701404,Melitopol,ملیتوپول,UA,Ukraine,
425,514796,Orlovskiy,اورلوفسکی,RU,Russia,
426,499055,Samarskoye,سامارسکوی,RU,Russia,
427,699657,Novobohdanivka,نووبوهاوانکا,UA,Ukraine,
428,462522,Zimovniki,زیموونیکی,RU,Russia,
429,583673,Aksay,اکسی,RU,Russia,
430,501175,Rostov-na-Donu,روستوف نا دونو,RU,Russia,
431,691469,Tokmak,توکماک,UA,Ukraine,
432,505256,Primorka,پریمورکا,RU,Russia,
433,579771,Bagayevskaya,باگایفسکایا,RU,Russia,
434,564593,Dubovskoye,دوبوسکوئه,RU,Russia,
435,558384,Grushevskaya,گروشوسکایا,RU,Russia,
436,686729,Vasylivka,واسیلیوکا,UA,Ukraine,
437,2013229,Vyazemskiy,ویازمسکی,RU,Russia,
438,543728,Kotelnikovo,کوتلنیکوو,RU,Russia,
439,707898,Hulyaypole,هولیایپول,UA,Ukraine,
440,528242,Mayskiy,میسکی,RU,Russia,
441,703555,Kushuhum,کوشوهوم,UA,Ukraine,
442,580139,Ayutinskiy,ایوتینسیکی,RU,Russia,
443,499535,Sadovoye,سادووی,RU,Russia,
444,703845,Kryvyy Rih,کریوی ری,UA,Ukraine,
445,546579,Koksovyy,کوکسوی,RU,Russia,
446,578155,Belaya Kalitva,بلایا کالیتوا,RU,Russia,
447,525162,Morozovsk,موروزوفسک,RU,Russia,
448,489062,Staraya Stanitsa,استارایا استانیتسا,RU,Russia,
449,464130,Masalovka,ماسالوکا,RU,Russia,
450,706244,Khotyn,خوتین,UA,Ukraine,
451,561146,Glubokiy,گلوبولين,RU,Russia,
452,705392,Kolomyya,کالوچا,UA,Ukraine,
453,701091,Mynay,مینای,UA,Ukraine,
454,552999,Kapustin Yar,کاپوستین یار,RU,Russia,
455,701405,Meliorativnoye,Meliorativnoye,UA,Ukraine,
456,699445,Novomoskovsk,نووموسکوفسک,UA,Ukraine,
457,2016412,Smidovich,اسمیدوویچ,RU,Russia,
458,690548,Uzhhorod,اوژورود,UA,Ukraine,
459,486071,Surovikino,سوروویکینو,RU,Russia,
460,687826,Zalishchyky,زالیشچیکی,UA,Ukraine,
461,542213,Krasnoslobodsk,کراسنوسلوبودسک,RU,Russia,
462,489446,Srednyaya Akhtuba,سردنایا اختوبا,RU,Russia,
463,706950,Kamieniec Podolski,کامینیک پودولسکی,UA,Ukraine,
464,536156,Leninsk,لنینسک,RU,Russia,
465,484396,Tarasovskiy,تاراسوسکی,RU,Russia,
466,2026643,Birobidzhan,Birobidzhan,RU,Russia,
467,1275339,Mumbai,بمبئی,IN,India,
468,689304,Vovchansk,ووچانسک,UA,Ukraine,
469,487928,Staryy Oskol,استاری اسکول,RU,Russia,
470,472045,Voronezh,وورونژ,RU,Russia,
471,483541,Terbuny,تربونی,RU,Russia,
472,575343,Bolokhovo,بولوخوو,RU,Russia,
473,484287,Tarusa,تاروسا,RU,Russia,
474,540771,Kronshtadt,کرونشتات,RU,Russia,
475,535544,Levashovo,لواشوو,RU,Russia,
476,1252797,Yamunanagar,یامونانگار,IN,India,
477,533543,Lukhovitsy,لوخوویتسی,RU,Russia,
478,506782,Polyany,Polyany,RU,Russia,
479,490846,Solotcha,سولوچا,RU,Russia,
480,514042,Ostrovtsy,استروتسی,RU,Russia,
481,482260,Tomilino,تومیلینو,RU,Russia,
482,532615,Lyubertsy,لیوبرتسی,RU,Russia,
483,515698,Olenegorsk,اولنگورسک,RU,Russia,
484,533933,Lovozero,لووزرو,RU,Russia,
485,2609894,Yantarnyy,یانتارنی,RU,Russia,
486,2023469,Irkutsk,ایرکوتسک,RU,Russia,
487,1283018,Nagarkot,ناگارکوت,NP,Nepal,
488,1175712,Jiwani,جیوانی,PK,Pakistan,
489,556283,Inza,اینزا,RU,Russia,
490,473994,Veshkayma,وشکایما,RU,Russia,
491,526354,Mirnyy,میرنی,RU,Russia,
492,566199,Dimitrovgrad,دیمیتروگراد,RU,Russia,
493,479561,Ufa,اوفا,RU,Russia,
